product_name,product_url,product_price,product_rating,product_shipping,product_reviews,childrens_mask,z_score_price,ear_loops,mask_pack,reusable
Buttonsmith White Adult Cotton Face Mask - Two Layer Soft T-Shirt Material Washable Adult One Size - Made in The USA - Cover Your Nose and Mouth,https://www.amazon.com/Buttonsmith-White-Adult-Cotton-Face/dp/B0886JWK9K/ref=sr_1_1?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-1,14,3.9,FREE: Orders over $25,22,0,-0.276143316,0,0,1
"Summer Face Mask Balaclava Protection from Dust, Aerosols, UV & Elements, Bandana",https://www.amazon.com/Self-Pro-Balaclava-Protection-Windproof/dp/B00S0YA5GM/ref=sr_1_2?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-2,14,4.5,FREE: Orders over $25,4940,0,-0.276143316,0,0,0
Milcoast 3-Ply Layer Disposable Earloop Face Masks - 50 Pack,https://www.amazon.com/Milcoast-3-Ply-Layer-Disposable-Earloop/dp/B087CBWDZ2/ref=sr_1_3?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-3,34,3.9,FREE Shipping by Amazon,239,0,0.854489134,1,1,0
"2 Pack Sponge Face Cover with Breathing Valve, Washable, Reusable, Face Cover – Protection from Dust, Pollen, Black",https://www.amazon.com/Sponge-Cover-Breathing-Washable-Reusable/dp/B087QSPC9V/ref=sr_1_4?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-4,19,1.9,FREE Shipping,62,0,0.006514797,0,1,1
3 Pack Cloth Bandana | Face Mask for Dust & Sun Protection | Nose Cover Scarf (Pink),https://www.amazon.com/Cloth-Bandana-Protection-Cover-Scarf/dp/B086WNC5MQ/ref=sr_1_5?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-5,NA,2.6,FREE: Orders over $25,38,0,NA,0,1,0
"SAMBUYA Cloth Reusable Washable Face Mask with Filter Pocket | Anti-Microbial Comfortable Breathable 3-Layer 100% USA Cotton Fabric | Adult Unisex Women Men (Black, Adult)",https://www.amazon.com/SAMBUYA-Reusable-Anti-Microbial-Comfortable-Breathable/dp/B0881YQMWY/ref=sr_1_6?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-6,NA,4.2,Charge,617,0,NA,0,0,1
"Self Pro Face Mask Ultimate Protection from Aerosols, Dust & Elements - 6 Ways to Wear Black",https://www.amazon.com/Self-Pro-Balaclava-Performance-Construction/dp/B01N9G3YGX/ref=sr_1_7?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-7,14,4.6,FREE: Orders over $25,2376,0,-0.276143316,0,0,0
"Aooba 2 Pcs Fashion Protective Face Masks, Unisex Black Dust Cotton Mouth Masks, Washable, Reusable Masks",https://www.amazon.com/Aooba-Fashion-Protective-Washable-Reusable/dp/B085C3HM1B/ref=sr_1_8?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-8,11,3.4,FREE: Orders over $25,430,0,-0.445738184,0,1,1
3 Layers Dustproof Non-Woven Filter Earloop Face Black Kou Zhao 50 Pcs for Disposable Protect,https://www.amazon.com/Dustproof-Non-Woven-Earloop-Disposable-Protect/dp/B087G9RRNG/ref=sr_1_9?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-9,33,4.2,Charge,18,0,0.797957512,1,1,0
"unik Cloth Face Covers, Economy Pack of 4, Thin Breathable Single Layer, Washable, Reusable Mask, Unisex, Laser Cut - Black",https://www.amazon.com/unik-Economy-Breathable-Washable-Reusable/dp/B086QJ6DCV/ref=sr_1_10?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-10,11,3.2,FREE Shipping,297,0,-0.445738184,0,1,1
"ABFIRE Non-Woven Fabric 3 Ply Disposable face Covers, Blue,Mouth Masks,50COUNT",https://www.amazon.com/ABFIRE-Non-Woven-Fabric-Disposable-50COUNT/dp/B086L8ZQ2D/ref=sr_1_11?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-11,8,3.5,FREE Shipping,81,0,-0.615333051,0,0,0
"Reusable Mouth Mask with Adjustable Elastic Ear Straps, Face Mask for Dust and Travel, Black",https://www.amazon.com/Reusable-Adjustable-Elastic-Straps-Travel/dp/B085FTW21V/ref=sr_1_12?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-12,12,3.3,FREE: Orders over $25,251,0,-0.389206561,0,0,1
"unik NAVY Cloth Face Cover, Economy 4 Pack, Thin Breathable, Washable, Reusable, Unisex, Pack of 4",https://www.amazon.com/unik-Economy-Breathable-Washable-Reusable/dp/B086QHXMF6/ref=sr_1_13?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-13,11,3,FREE Shipping,29,0,-0.445738184,0,1,1
Breathing Protection Respirators (1Pcs) Comfortable and Excellent Against Harmful Air Particle,https://www.amazon.com/Breathing-Protection-Respirators-Comfortable-Excellent/dp/B08837NPRC/ref=sr_1_14?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-14,16,3,FREE: Orders over $25,37,0,-0.163080071,0,1,0
4Pcs Reusable Face Bandanas with Breathing Valve for Adults Outdoor Activities,https://www.amazon.com/Reusable-Bandanas-Breathing-Outdoor-Activities/dp/B088CYGGTG/ref=sr_1_15?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-15,12,2,FREE Shipping,2,0,-0.389206561,0,1,1
"Universal 4521 Cloth Face Masks – Reusable Nose & Mouth Mask, 100% Cotton, 2 Layer, Washable Facemask, Teens & Adults – Protects from Dust, Pollen, Pet Dander & Other Irritants (4 Masks)",https://www.amazon.com/Universal-4521-Anti-Flu-Masks/dp/B07VGKQ1PV/ref=sr_1_16?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-16,17,4,FREE: Orders over $25,558,0,-0.106548448,0,0,1
VTER Cotton Face Breathing Mask - Pack of 5 - Comfortable Washable Cotton Mask (White),https://www.amazon.com/VTER-Cotton-Face-Breathing-Mask/dp/B085CNR5QQ/ref=sr_1_17?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-17,19,4,FREE: Orders over $25,930,0,0.006514797,0,1,1
Family Made Company Three Layers-Blue-50PCS/Pack,https://www.amazon.com/Family-Made-Company-Three-Layers-Blue-50PCS/dp/B087GBL7FG/ref=sr_1_18?dchild=1&keywords=face+mask+for+virus&qid=1592270249&sr=8-18,23,3.4,Charge,69,0,0.232641287,0,1,0
