product_name,product_url,product_price,product_rating,product_shipping,product_reviews,childrens_mask,z_score_price,ear_loops,mask_pack,reusable
"Cotton Unisex Face Shield Reusable for Cycling Camping Travel for Kids Teens Men Women, Pack of 2",https://www.amazon.com/Cotton-Unisex-Reusable-Cycling-Camping/dp/B086WGQJ3K/ref=sr_1_1?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-1,12,3.5,FREE: Orders over $25,62,1,-0.466445588,0,1,1
"Cotton Face Bandanas, for Children, Haze Dust Face Health (4pcs with 8filters)",https://www.amazon.com/Cotton-Bandanas-Animal-Patern-Children/dp/B087NHDV63/ref=sr_1_2?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-2,8,2,Charge,67,1,-0.940741012,0,1,0
EXTSUD Dustproof Sunhat Cotton Packable Sun Hats Dust Proof Suitable for Kids 49-51cm Yellow,https://www.amazon.com/EXTSUD-Dustproof-Packable-Suitable-49-51cm/dp/B0865WPKHT/ref=sr_1_3?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-3,16,4.3,FREE: Orders over $25,148,1,0.007849837,0,1,0
Masks for children and adults-ideal (1 pack 2 filters),https://www.amazon.com/Masks-children-adults-ideal-pack-filters/dp/B087K14JFP/ref=sr_1_4?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-4,19,3.9,FREE: Orders over $25,24,1,0.363571406,0,1,0
30 pieces Mixed Color Elastic Ear Loops School Kids Face Masks,https://www.amazon.com/pieces-Mixed-Color-Elastic-School/dp/B087JXPZ2Z/ref=sr_1_5?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-5,25,5,FREE Shipping,3,1,1.075014543,1,0,0
Home-X Comfortable Non-Slip Mask Ear Hook Extension Buckle Anti-Ear Ear Holder for All Kinds of Mask Relax Your Ears Adjustable Child Adjustable Mask Hook-Set of 3 Colors,https://www.amazon.com/Home-X-Comfortable-Non-Slip-Extension-Adjustable/dp/B086XKXDC1/ref=sr_1_6?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-6,7,4.7,FREE: Orders over $25,4,1,-1.059314869,0,0,0
10 Pcs Ear Mask Hook Strap Buckle 4 Gears Adjustable Anti-Slip Ear Hook for Long time Wearing Ear Pressure Pain for Adults and Children. (black),https://www.amazon.com/Adjustable-Anti-Slip-Wearing-Pressure-Children/dp/B087QDJ2SH/ref=sr_1_7?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-7,9,4.2,FREE: Orders over $25,85,1,-0.822167156,0,1,0
"Children's Seamless Face Bandanas, with 8 Filter Sheet(4pcs Cover)",https://www.amazon.com/Childrens-Seamless-Bandanas-Breathing-Filter/dp/B087JLXG52/ref=sr_1_8?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-8,10,4.1,FREE Shipping,233,1,-0.7035933,0,1,0
Anti-Slip Comfortable Ear Strap Hook - Adjustable Extension Buckle - for Child Adult Adjusting Ear Loop Tightness to Relax Ears 4pcs Pink,https://www.amazon.com/Anti-Slip-Comfortable-Ear-Strap-Hook/dp/B08619HSBD/ref=sr_1_9?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-9,6,4,FREE: Orders over $25,34,1,-1.177888725,1,1,0
"Lanier Wellness Adult & Kids Reusable Face Covers (Pack of 2), Blue/White",https://www.amazon.com/Lanier-Wellness-2-Layer-Reusable-Cover/dp/B087ZJV6DB/ref=sr_1_10?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-10,13,3.7,FREE: Orders over $25,48,1,-0.347871731,0,1,1
7 Color Lights LED Light up Face Mask USB Rechargeable Glowing Luminous Dust Mask for Christmas Party Festival Dancing Rave Masquerade Costumes (Face Mask),https://www.amazon.com/Rechargeable-Luminous-Christmas-Festival-Masquerade/dp/B07KXPB5QR/ref=sr_1_11?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-11,32,4.6,FREE Shipping by Amazon,236,1,1.905031536,0,0,0
4pcs Face Cotton with Breathing valve With 8pcs Activated Carbon Filter Replaceable Filters Face Health Suitable For Children Kids (4PC+8),https://www.amazon.com/Breathing-Activated-Replaceable-Suitable-Children/dp/B0888SFCH3/ref=sr_1_12?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-12,10,3.4,FREE Shipping,83,1,-0.7035933,0,1,0
Cotton Cute Mouth Face Mouth Cover- Reusable Cotton Comfy Breathable Outdoor Fashion Face Protections Man and Woman,https://www.amazon.com/Reusable-Breathable-Outdoor-Fashion-Protections/dp/B0876MZRWJ/ref=sr_1_13?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-13,12,4.2,FREE: Orders over $25,661,1,-0.466445588,0,0,1
VIOLA Disposable 3-Layer Protective Earloop Face Masks for Kids (30 pcs),https://www.amazon.com/VIOLA-Disposable-3-Layer-Protective-Earloop/dp/B087JH8XVB/ref=sr_1_14?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-14,33,3.4,FREE Shipping,24,1,2.023605392,1,1,0
Crocs Kids' Crocband Clog | Slip On Shoes for Boys and Girls | Water Shoes,https://www.amazon.com/Crocs-Crocband-Bright-Charcoal-Toddler/dp/B07K91RGD2/ref=sr_1_15?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-15,29,4.7,FREE Shipping by Amazon,6587,1,1.549309968,0,0,0
Reusable Cotton Face Mask (Pack of 50),https://www.amazon.com/Reusable-Cotton-Face-Mask-Pack/dp/B086WC1LDD/ref=sr_1_16?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-16,30,4,FREE Shipping by Amazon,653,1,1.667883824,0,1,1
"Epielle Character Masks (Assorted-6pk) 1-Llama, 1-Mermaid, 1-Panda, 1-Cheetah, 1-Unicorn, 1-Otter (Epielle Character Masks-6pk) (Assorted Character Mask-6pk)",https://www.amazon.com/Epielle-Cheetah-Unicorn-Assorted-Character/dp/B07JYLWSGH/ref=sr_1_17?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-17,8,4.4,FREE: Orders over $25,223,1,-0.940741012,0,0,0
Made in USA Washable Reusable Kid Dust Cover Scarf Bandana with Filter Pocket,https://www.amazon.com/Washable-Reusable-Bandana-Filter-Pocket/dp/B0886B4RZB/ref=sr_1_18?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-18,9,4.1,FREE Shipping,44,1,-0.822167156,0,0,1
"24 Pack of Kids Safety Glasses (24 Protective Goggles in 6 Different Colors) Crystal Clear Eye Protection - Specially Designed to Fit Children, Perfect for Nerf Parties",https://www.amazon.com/Glasses-Protective-Goggles-Different-Protection/dp/B07XKVVXY9/ref=sr_1_19?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-19,24,4.9,FREE: Orders over $25,893,1,0.956440687,0,1,0
"Face Mask, Washable and Reusable Cloth Mask, Pack of 2, Personal Protection with Ear Loops for Home Use, Size Fits best for Youth And Children, Medium, Navy Blue (2 masks)",https://www.amazon.com/Washable-Reusable-Personal-Protection-Home/dp/B088FT9MTD/ref=sr_1_20?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-20,12,4.2,FREE: Orders over $25,5,1,-0.466445588,1,1,1
HAO HONG 1PC Summer Cooling Kids Men Women Face Scarf Mask-Dust Bandana Neck Gaiter Multifunction Headband Balaclava with 5 pcs Filters Outdoors Dustproof Lightweight,https://www.amazon.com/HAO-HONG-Multifunction-Balaclava-Lightweight/dp/B0881WMTTX/ref=sr_1_21?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-21,15,4.4,FREE: Orders over $25,12,1,-0.110724019,0,1,0
"KISSBUTY 1 Pack Mouth Mask Teens Women Anti Dust Face Mask Cotton Mouth Mask, Black 3 Layers Cotton Face Mask for Cycling Camping Travel, Women or Teens 12 to 16 Years (1)",https://www.amazon.com/KISSBUTY-Cotton-Layers-Cycling-Camping/dp/B08527HMS9/ref=sr_1_22?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-22,7,3.3,FREE: Orders over $25,365,1,-1.059314869,0,1,0
"Cotton Unisex Face Shield Reusable for Cycling Camping Travel for Kids Teens Men Women, Pack of 5",https://www.amazon.com/Cotton-Unisex-Reusable-Cycling-Camping/dp/B08793PQ4G/ref=sr_1_23?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-23,19,3.6,FREE: Orders over $25,40,1,0.363571406,0,1,1
VIOLA Disposable 3-Layer Protective Earloop Face Masks for Kids (30-pcs),https://www.amazon.com/VIOLA-M%C3%A1scaras-desechables-capas-unidades/dp/B0881BRZRB/ref=sr_1_24?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-24,33,5,FREE Shipping,2,1,2.023605392,1,1,0
"Reusable Face Bandanas, Washable Face Cotton 5 Pcs for Children (F)",https://www.amazon.com/Reusable-Bandanas-Washable-Cotton-Children/dp/B088KQPN45/ref=sr_1_25?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-25,17,2.7,FREE Shipping,17,1,0.126423693,0,1,1
